ing,6059
ion,2993
ati,2591
tio,2488
ers,2059
ate,1991
ent,1947
ter,1911
ess,1829
tin,1567
ted,1506
ons,1406
ist,1293
con,1293
ble,1258
est,1236
nes,1217
ies,1179
res,1166
all,1154
ica,1055
abl,1034
lin,1033
rat,1016
per,1002
ver,981
men,965
ive,958
tic,958
les,955
ine,946
tra,943
ous,916
dis,897
sti,889
ali,887
rin,883
tor,875
ant,856
nte,856
red,853
cal,844
der,838
pro,828
ise,824
ste,805
int,802
lis,798
lly,777
eri,773
nde,764
nce,761
str,757
ect,748
iti,745
cti,723
lat,719
sta,717
ere,714
nti,702
pre,693
tes,693
ity,691
rea,673
min,665
ran,663
lit,662
and,654
her,653
com,648
era,640
led,637
tri,631
che,627
sin,622
tiv,612
ove,599
cat,594
sed,594
gra,592
und,586
ene,573
ten,572
rec,572
ili,572
ses,547
ona,543
the,542
nat,541
ast,538
enc,538
nal,536
man,528
ari,523
for,522
ish,522
ier,517
mis,516
tat,514
ina,513
ell,509
ide,505
din,505
nin,502
tte,498
ssi,491
ort,489
nts,481
lle,480
ned,480
nis,479
anc,478
ris,477
ard,476
mat,475
end,474
ill,473
ain,470
rie,469
ear,466
one,465
ure,462
ens,460
ass,455
ind,454
ins,452
des,446
log,446
ght,445
par,445
ngs,444
tur,442
act,442
oun,441
oni,439
ula,437
age,437
cha,436
ial,435
rac,434
art,434
ato,434
lli,433
kin,432
olo,431
igh,428
ele,426
sse,426
ack,420
ner,418
ors,418
ded,417
sts,414
hin,414
ans,413
chi,413
ler,410
imp,409
nta,409
ric,409
unc,404
lan,401
ite,396
ces,394
tal,394
ngl,394
tro,391
ely,390
ven,390
ser,387
tie,385
isi,384
she,384
sio,381
our,381
inc,378
ori,378
ret,377
ism,376
eat,375
den,372
pla,369
shi,369
ndi,368
ici,368
out,362
ita,362
sto,361
ful,358
tab,357
pin,356
ete,356
tan,356
rti,355
pos,353
rit,353
omp,353
hea,351
ifi,350
nge,350
ust,349
isa,349
rap,349
eli,347
rep,347
unt,346
app,346
ren,342
eme,342
lic,341
ria,340
ani,340
hes,335
ang,335
ore,335
han,334
ntr,333
ont,332
ker,332
spe,330
ini,329
ome,329
tre,329
vel,328
hed,326
ron,325
bil,325
ral,323
ger,323
rou,321
ert,320
pri,319
ead,318
har,318
car,317
eco,317
iat,316
mer,316
iou,315
sat,313
gen,312
lar,312
eti,309
sly,307
qui,306
edi,305
gin,304
ave,304
ost,304
cor,302
mon,302
tch,302
tis,299
ick,298
cke,295
eas,295
ile,293
att,293
nsi,293
ade,292
ora,292
ple,290
ped,288
ara,288
are,288
ath,288
gly,287
cre,287
orm,285
rop,285
ber,284
scr,283
ock,283
use,283
pen,282
tar,280
ace,280
erm,280
ves,279
cen,279
eve,279
wor,279
tru,277
tle,276
lea,276
ian,275
nic,273
nst,272
sit,272
oli,271
nch,271
ame,270
cul,270
oll,269
hor,269
ogi,267
lie,267
ire,265
rel,264
win,264
que,263
sen,263
als,263
por,260
qua,260
ges,259
sub,258
tly,258
mar,257
med,257
cra,257
cou,256
las,256
rai,256
sur,256
eni,256
fer,256
uri,255
pol,255
isc,254
ref,254
met,254
cro,254
pat,253
mpe,253
ppe,253
ice,251
dec,250
ros,250
sho,250
war,249
rem,248
ree,248
uti,248
bly,247
ked,246
sco,246
dic,245
sha,245
usl,245
pti,244
ake,244
bra,244
ram,243
cri,243
ole,242
ach,242
etr,242
ull,242
can,242
lec,242
pli,241
omi,241
ose,241
mpl,241
len,239
arr,238
rre,238
col,238
abi,237
erc,236
yin,236
fie,236
nit,235
hol,235
iss,234
exp,233
nco,232
gat,232
emi,232
mic,232
amp,230
ton,230
pho,229
aph,228
inf,228
lac,228
uni,227
lla,227
fic,227
rte,226
ime,226
uns,226
ash,226
ail,226
ern,225
sca,224
dle,224
tel,222
ero,222
spo,221
ged,221
nci,221
fin,221
nne,221
cur,220
eal,220
esi,220
ute,220
rse,220
rch,219
ivi,219
cla,219
nds,219
ied,219
cin,218
ars,218
adi,218
ult,218
air,217
err,217
ets,217
ord,217
ond,216
osi,214
rad,214
let,214
rri,213
llo,213
tit,212
rma,212
itt,212
mal,212
cia,210
cer,210
ote,210
ale,209
ett,209
spi,208
ual,208
gre,208
lig,208
ogr,207
ura,207
ary,207
bli,207
tia,207
aci,206
cle,206
rev,206
ntl,206
low,205
tai,205
ema,204
til,204
mor,203
ong,203
roo,201
son,201
ign,201
imi,201
dia,200
ood,200
sup,200
tim,200
ope,199
mit,199
siv,199
nse,199
oth,199
ien,199
uct,199
thi,199
ced,198
gle,198
ase,198
ras,197
emo,197
cto,196
ann,196
sel,196
omm,195
duc,195
pec,195
oti,195
ono,195
vis,195
vin,194
arc,194
erv,193
rmi,193
dly,192
rab,190
ibl,190
lou,190
row,190
acc,189
dit,189
ese,188
rus,188
tho,188
old,187
hip,187
cks,187
ics,185
phi,185
fla,184
sol,184
tti,184
rot,184
rig,184
ily,184
bar,182
eta,182
mme,182
tif,182
ict,181
owe,181
uff,181
ane,181
def,180
cho,179
bri,179
sis,178
gis,178
ext,178
ima,178
ana,177
rer,177
ami,176
loc,176
reg,175
dge,175
nve,175
arm,175
rom,174
rge,174
cit,174
phe,174
dra,173
sor,173
die,172
ink,172
umb,172
ena,172
usi,172
esc,171
idi,171
mas,171
spa,171
nar,171
mil,171
oin,171
urs,171
eci,171
pan,170
ery,169
bre,169
ffe,169
oot,169
mou,168
equ,168
sal,168
itu,168
roc,168
cap,166
ode,166
ape,166
rds,166
oma,166
del,166
emb,166
oss,166
net,165
sid,165
cte,164
evi,164
rag,164
sec,164
dem,164
erp,163
own,163
ork,163
stu,162
ook,162
fle,162
emp,162
rip,162
val,162
pic,162
rio,162
isp,162
onc,162
ugh,162
nda,161
rth,161
dro,161
ede,161
eed,160
thr,160
loo,160
rim,159
uit,158
gro,158
ept,158
bal,158
tee,157
rol,157
bit,157
ela,156
eep,156
his,155
asi,155
rib,155
atu,154
bat,154
ece,154
mes,154
inv,154
onf,153
sce,151
sne,151
vat,151
lim,151
tom,151
hal,150
cas,150
wer,150
oke,150
ril,150
upe,150
bed,150
cru,149
eak,149
aut,149
bel,149
mul,149
rdi,149
lia,149
pit,149
mbl,148
ude,148
orn,148
hou,148
ark,148
amb,148
ank,148
nsu,147
una,147
dep,147
ega,147
hro,147
ala,147
lon,147
mpa,147
bro,147
leg,147
lif,147
ctu,146
oca,146
clo,145
utt,145
ump,145
cis,145
rid,145
wel,144
erl,144
sig,144
epr,144
lde,143
hic,143
ban,143
gic,142
bla,142
esp,142
boo,142
